unit_id,volume,kind,source_number,source_label,parent_id,printed_page,source_file,line,anchor_sha256,authority_state,review_state
ega:corpus,,corpus,EGA 0-IV,,,,,0,,english_discovery,unreviewed
ega:volume:0,0,volume,0,,ega:corpus,,,0,,english_discovery,unreviewed
ega:volume:I,I,volume,I,,ega:corpus,,,0,,english_discovery,unreviewed
ega:volume:II,II,volume,II,,ega:corpus,,,0,,english_discovery,unreviewed
ega:volume:III,III,volume,III,,ega:corpus,,,0,,english_discovery,unreviewed
ega:volume:IV,IV,volume,IV,,ega:corpus,,,0,,english_discovery,unreviewed
ega:section:IV.4,IV,section,section:IV.4,section:IV.4,ega:volume:IV,,components/01_section41_dimension_of_algebraic_preschemes.tex,2,10F9E420C559A352EF969808ACD20A22DFDED9C9433EEA703BEE2018A29A7F46,english_discovery,unreviewed
ega:subsection:IV.4.1,IV,subsection,subsection:IV.4.1,subsection:IV.4.1,ega:section:IV.4,IV-2:52,components/01_section41_dimension_of_algebraic_preschemes.tex,7,B9F3464BCD77E22CB1FE27EE6BA4818BD5C17175DB8BD8D00B64DF5B9F789C7D,english_discovery,unreviewed
ega:IV.4.1.1,IV,definition,4.1.1,IV.4.1.1,ega:subsection:IV.4.1,IV-2:52,components/01_section41_dimension_of_algebraic_preschemes.tex,16,B65DBE09B797BEDA6B5CAF7CB92676C46BBC393DA8F24845E038B957E8079CAC,english_discovery,unreviewed
ega:IV.4.1.1.1,IV,equation,IV.4.1.1.1,IV.4.1.1.1,ega:IV.4.1.1,IV-2:52,components/01_section41_dimension_of_algebraic_preschemes.tex,22,88B62F5F177E125BD622CC496BE3814F90B89E01A7F1EACF5AF193F6938400EC,english_discovery,unreviewed
ega:IV.4.1.1.2,IV,equation,IV.4.1.1.2,IV.4.1.1.2,ega:IV.4.1.1,IV-2:52,components/01_section41_dimension_of_algebraic_preschemes.tex,44,3B1BAD703F7AD30EEAD77AE9D6E07DA22D7300A03199C38674308547D7BCCD28,english_discovery,unreviewed
ega:IV.4.1.1.3,IV,equation,IV.4.1.1.3,IV.4.1.1.3,ega:IV.4.1.1,IV-2:52,components/01_section41_dimension_of_algebraic_preschemes.tex,51,9C68E0137361AE3706B4257D5C4A27B59E4F856D7C4EBE337182AD7A493B7F10,english_discovery,unreviewed
ega:IV.4.1.2,IV,theorem,4.1.2,IV.4.1.2,ega:subsection:IV.4.1,IV-2:52,components/01_section41_dimension_of_algebraic_preschemes.tex,58,9280F1EEDF3EAC3E725354C76276584341FCEEDB211BB34021EBE1E1D1677CAB,english_discovery,unreviewed
ega:IV.4.1.2:proof,IV,proof,proof,,ega:IV.4.1.2,IV-2:53,components/01_section41_dimension_of_algebraic_preschemes.tex,83,82254B80D75A93E42D5A0698010614566C6A1DC34F33F625898E6FD258B9C778,english_discovery,unreviewed
ega:IV.4.1.2.1,IV,corollary,4.1.2.1,IV.4.1.2.1,ega:subsection:IV.4.1,IV-2:53,components/01_section41_dimension_of_algebraic_preschemes.tex,101,268E1238A84BCCBEE87C146205971629217D519617C9DC958DEF0DFDB568B8BD,english_discovery,unreviewed
ega:IV.4.1.2.1:proof,IV,proof,proof,,ega:IV.4.1.2.1,IV-2:53,components/01_section41_dimension_of_algebraic_preschemes.tex,114,82254B80D75A93E42D5A0698010614566C6A1DC34F33F625898E6FD258B9C778,english_discovery,unreviewed
ega:IV.4.1.2.1:proof:2,IV,proof,proof,,ega:IV.4.1.2.1,IV-2:53,components/01_section41_dimension_of_algebraic_preschemes.tex,159,687435713D9EAD54381FE11095C0E26FDBF8428F02EFA2D0018FFEF406CF085A,english_discovery,unreviewed
ega:IV.4.1.3,IV,remark,4.1.3,IV.4.1.3,ega:subsection:IV.4.1,IV-2:54,components/01_section41_dimension_of_algebraic_preschemes.tex,207,08353F315EB9A6C1AA25D7EF765328DC831A9DF4ACBBFE68D5313E9C672141BE,english_discovery,unreviewed
ega:IV.4.1.4,IV,corollary,4.1.4,IV.4.1.4,ega:subsection:IV.4.1,IV-2:54,components/01_section41_dimension_of_algebraic_preschemes.tex,213,1A9800F47093BA2A91091A9411F14290D50FDDADAAE2919480BA1EBB0C0D6E32,english_discovery,unreviewed
ega:IV.4.1.4:proof,IV,proof,proof,,ega:IV.4.1.4,IV-2:54,components/01_section41_dimension_of_algebraic_preschemes.tex,221,82254B80D75A93E42D5A0698010614566C6A1DC34F33F625898E6FD258B9C778,english_discovery,unreviewed
ega:IV.4.1.5,IV,corollary,4.1.5,IV.4.1.5,ega:subsection:IV.4.1,IV-2:54,components/01_section41_dimension_of_algebraic_preschemes.tex,247,718D6F7898D98C832045BA766B7311DD1C1F9D4E3388F7F726F43FDC01703873,english_discovery,unreviewed
ega:IV.4.1.5:proof,IV,proof,proof,,ega:IV.4.1.5,IV-2:54,components/01_section41_dimension_of_algebraic_preschemes.tex,255,82254B80D75A93E42D5A0698010614566C6A1DC34F33F625898E6FD258B9C778,english_discovery,unreviewed
ega:section:IV.5,IV,section,section:IV.5,section:IV.5,ega:volume:IV,,components/01_section51_dimension_of_preschemes.tex,3,B8210A1FFC5CD266CDB91C422CAFA34BD6D2D68DF085F6FBED2E9C54ADF6313C,english_discovery,unreviewed
ega:subsection:IV.5.1,IV,subsection,subsection:IV.5.1,subsection:IV.5.1,ega:section:IV.5,IV-2:86,components/01_section51_dimension_of_preschemes.tex,13,844D50F9A3071EE255B041337BCFF777C2AA83A6DA94C009F9502B8CB18A7A82,english_discovery,unreviewed
ega:IV.5.1.1,IV,statement,5.1.1,IV.5.1.1,ega:subsection:IV.5.1,IV-2:86,components/01_section51_dimension_of_preschemes.tex,17,76820E2FA7F6E79FDE8478680824CA8DBE2A54949DD2059FD956DE827BD45007,english_discovery,unreviewed
ega:IV.5.1.1.1,IV,equation,IV.5.1.1.1,IV.5.1.1.1,ega:IV.5.1.1,IV-2:86,components/01_section51_dimension_of_preschemes.tex,25,752F5D0A5AFC31D5BA00101B16A7A54C2640F84C441A35D81B489A951C3DB38F,english_discovery,unreviewed
ega:IV.5.1.1.2,IV,equation,IV.5.1.1.2,IV.5.1.1.2,ega:IV.5.1.1,IV-2:86,components/01_section51_dimension_of_preschemes.tex,27,56DE1EF0D676807C128749851257C2A548F411D60CBECA5160429448DD4C721D,english_discovery,unreviewed
